CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
003130,2429,0,2429,0
003131,1464,0,1464,0
003133,3,0,3,0
003134,430,0,430,0
003135,1692,0,1692,0
003138,605,0,605,0
003139,922,0,922,2
003141,751,0,751,1
003143,3,0,3,1
003144,278,0,278,7
003146,74,0,74,13
003149,6726,5,6731,0
003153,843,0,843,2
003154,3599,0,3599,0
003158,434,0,434,11
003164,601,0,601,0
003166,2493,0,2493,0
004001,777,0,777,0
004004,155,0,155,6
004006,287,0,287,0
004007,138,19,157,0
004008,1084,0,1084,0
004009,5911,1,5912,0
004012,4036,0,4036,1
004013,411,0,411,0
004014,441,0,441,0
004015,361,0,361,0
004016,1133,52,1185,2
004017,294,0,294,0
004018,162,0,162,0
004019,1962,0,1962,0
004020,265,0,265,1
004022,1832,0,1832,0
004023,159,0,159,0
004025,4631,0,4631,1
004026,228,0,228,3
004027,580,0,580,8
004028,5294,0,5294,4
004029,7467,0,7467,19
004030,167,0,167,0
004032,272,0,272,1
004033,1163,0,1163,29
004034,3751,0,3751,22
004038,203,0,203,0
004040,2957,0,2957,4
004041,2248,9,2257,0
004043,2316,0,2316,5
004044,248,0,248,1
004045,930,0,930,0
004046,675,0,675,23
004047,627,0,627,0
004049,517,0,517,0
004050,434,1,435,1
004051,6,0,6,0
004052,386,0,386,1
004054,286,0,286,0
004055,450,0,450,0
004056,552,0,552,0
004059,2036,0,2036,0
004060,314,0,314,0
004061,5,0,5,3
004063,265,34,299,0
004065,808,0,808,0
004066,2867,0,2867,0
004067,3034,0,3034,0
004070,128,0,128,2
004071,634,0,634,0
004073,2183,0,2183,0
004074,986,0,986,0
004075,1742,0,1742,0
004077,887,0,887,0
004078,10010,0,10010,69
004079,2159,0,2159,0
004080,1660,0,1660,0
004081,3204,0,3204,8
004082,3927,201,4128,1
004083,209,0,209,0
004084,1660,0,1660,0
004085,1443,0,1443,0
004086,832,0,832,0
004087,210,0,210,0
