CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale
001003,944,0,944
001010,403,47,450
001011,1,0,1
001012,5,0,5
001015,364,4,368
001017,361,0,361
001018,799,19,818
001021,921,0,921
001024,3,0,3
001028,2206,127,2333
001033,1609,26,1635
001034,2717,0,2717
001035,2514,0,2514
001037,459,0,459
001038,38,0,38
001040,853,0,853
001044,2567,0,2567
001048,1597,14,1611
001051,1209,0,1209
001052,1,0,1
001053,1432,0,1432
001054,824,0,824
001055,1347,0,1347
001058,3499,18,3517
001059,7859,21,7880
001060,86,0,86
001061,528,0,528
001068,1869,0,1869
001070,1831,28,1859
001071,640,139,779
001072,1562,0,1562
001074,1177,7,1184
001077,8,0,8
001078,6773,2,6775
001082,9132,0,9132
001086,5612,0,5612
001087,228,7,235
001088,1116,0,1116
001090,1,0,1
001093,2006,29,2035
001095,11,0,11
001097,3991,2,3993
001098,3002,94,3096
001101,66,0,66
001104,1137,0,1137
001108,6,0,6
001109,1185,0,1185
001110,7,0,7
001111,414,9,423
001115,6648,2,6650
001116,59,0,59
001117,726,0,726
001118,967,0,967
001122,497,1,498
001127,3064,54,3118
001129,819,0,819
001135,981,0,981
001137,22,0,22
001142,692,21,713
001144,742,0,742
001147,1111,12,1123
001148,1874,0,1874
001152,1018,0,1018
001154,228,1,229
001156,8372,153,8525
001158,356,0,356
001159,517,0,517
001163,381,0,381
001164,5577,394,5971
001166,2120,24,2144
001168,1998,0,1998
001171,5781,0,5781
001172,2,0,2
001175,886,0,886
001176,7,0,7
001180,464,0,464
001181,1053,0,1053
001183,1171,8,1179
001189,2882,135,3017
001190,1898,54,1952
001191,10804,7,10811
001192,1944,6,1950
001193,1259,33,1292
001194,3416,163,3579
001197,3999,16,4015
001198,675,0,675
001200,5,0,5
001201,980,53,1033
001203,952,0,952
001204,533,0,533
001206,571,0,571
001213,547,0,547
001214,6107,140,6247
001215,1210,12,1222
001219,11120,6,11126
001220,16,0,16
001222,909,0,909
001225,714,0,714
001233,293,0,293
001236,2632,28,2660
001237,1485,0,1485
001241,1038,0,1038
001245,611,6,617
001246,6,0,6
001248,1,0,1
001249,4154,0,4154
001250,3,0,3
001252,1437,0,1437
001254,1603,0,1603
001255,2208,0,2208
001256,1750,6,1756
001257,2332,15,2347
