pkuid,cod_rip,cod_reg,cod_prov,cod_cm,cod_uts,pro_com,pro_com_t,comune,comune_a,cc_uts,shape_leng,shape_area,den_cm,den_prov,den_reg,den_rip,den_uts,ontopia,sigla,tipo_uts
1,1,1,001,201,201,1001,1001,Agliè,,0,15843.9823914,13240681581,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001001,TO,Città metropolitana
2,1,1,001,201,201,1002,1002,Airasca,,0,16188.9452168,16032724.9074,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001002,TO,Città metropolitana
3,1,1,001,201,201,1003,1003,Ala di Stura,,0,29257.7352988,46174949.2103,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001003,TO,Città metropolitana
4,1,1,001,201,201,1004,1004,Albiano d'Ivrea,,0,16429.9083195,11677018.9381,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001004,TO,Città metropolitana
5,1,1,001,201,201,1006,1006,Almese,,0,16104.2853982,17987914.4308,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001006,TO,Città metropolitana
6,1,1,001,201,201,1007,1007,Alpette,,0,8894.83299352,5555691.97046,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001007,TO,Città metropolitana
7,1,1,001,201,201,1008,1008,Alpignano,,0,15190.5396171,11897218.4317,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001008,TO,Città metropolitana
8,1,1,001,201,201,1009,1009,Andezeno,,0,11473.2201418,7476553.90016,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001009,TO,Città metropolitana
9,1,1,001,201,201,1010,1010,Andrate,,0,18677.5165613,9357339.50395,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001010,TO,Città metropolitana
10,1,1,001,201,201,1011,1011,Angrogna,,0,31461.844747,38408771.4359,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001011,TO,Città metropolitana
11,1,1,001,201,201,1012,1012,Arignano,,0,12899.0945713,7961051.01132,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001012,TO,Città metropolitana
12,1,1,001,201,201,1013,1013,Avigliana,,0,23648.7523298,22993253.3718,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001013,TO,Città metropolitana
13,1,1,001,201,201,1014,1014,Azeglio,,0,20329.0141086,9864099.89637,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001014,TO,Città metropolitana
14,1,1,001,201,201,1015,1015,Bairo,,0,11050.4078359,7080508.69124,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001015,TO,Città metropolitana
15,1,1,001,201,201,1016,1016,Balangero,,0,16131.5217266,12931540432,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001016,TO,Città metropolitana
16,1,1,001,201,201,1017,1017,Baldissero Canavese,,0,9328.98342058,4646490.60448,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001017,TO,Città metropolitana
17,1,1,001,201,201,1018,1018,Baldissero Torinese,,0,19629.7137331,15511824.1859,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001018,TO,Città metropolitana
18,1,1,001,201,201,1019,1019,Balme,,0,35128.2113436,62737924.9847,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001019,TO,Città metropolitana
19,1,1,001,201,201,1020,1020,Banchette,,0,11518.3286136,2010840.35995,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001020,TO,Città metropolitana
20,1,1,001,201,201,1021,1021,Barbania,,0,14850.5544158,12782102.6557,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001021,TO,Città metropolitana
21,1,1,001,201,201,1022,1022,Bardonecchia,,0,55239.0239293,132311124181,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001022,TO,Città metropolitana
22,1,1,001,201,201,1023,1023,Barone Canavese,,0,12293.6434111,3988820.03267,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001023,TO,Città metropolitana
23,1,1,001,201,201,1024,1024,Beinasco,,0,15639.5068048,6917250.51659,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001024,TO,Città metropolitana
24,1,1,001,201,201,1025,1025,Bibiana,,0,23575.8464764,18471110.2956,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001025,TO,Città metropolitana
25,1,1,001,201,201,1026,1026,Bobbio Pellice,,0,42095.8119027,94104914.1649,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001026,TO,Città metropolitana
26,1,1,001,201,201,1027,1027,Bollengo,,0,16600.0342864,14339804999,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001027,TO,Città metropolitana
27,1,1,001,201,201,1028,1028,Borgaro Torinese,,0,15634.6101114,10813649.7029,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001028,TO,Città metropolitana
28,1,1,001,201,201,1029,1029,Borgiallo,,0,16143.9240491,7050561.79905,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001029,TO,Città metropolitana
29,1,1,001,201,201,1030,1030,Borgofranco d'Ivrea,,0,18570.6078323,13300733.7946,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001030,TO,Città metropolitana
30,1,1,001,201,201,1031,1031,Borgomasino,,0,14125.3200384,12097042.2272,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001031,TO,Città metropolitana
31,1,1,001,201,201,1032,1032,Borgone Susa,,0,11101.9409207,4940690.66738,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001032,TO,Città metropolitana
32,1,1,001,201,201,1033,1033,Bosconero,,0,17953.9933139,10932594381,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001033,TO,Città metropolitana
33,1,1,001,201,201,1034,1034,Brandizzo,,0,10306.5911903,6394405.52831,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001034,TO,Città metropolitana
34,1,1,001,201,201,1035,1035,Bricherasio,,0,23203.272696,22862929.1253,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001035,TO,Città metropolitana
35,1,1,001,201,201,1036,1036,Brosso,,0,17601.5733401,11114611.1906,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001036,TO,Città metropolitana
36,1,1,001,201,201,1037,1037,Brozolo,,0,12878.4053753,8921396.25902,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001037,TO,Città metropolitana
37,1,1,001,201,201,1038,1038,Bruino,,0,9952.61847122,5764797.19336,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001038,TO,Città metropolitana
38,1,1,001,201,201,1039,1039,Brusasco,,0,20644.933899,14220983.9039,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001039,TO,Città metropolitana
39,1,1,001,201,201,1040,1040,Bruzolo,,0,21301.3622877,12530155135,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001040,TO,Città metropolitana
40,1,1,001,201,201,1041,1041,Buriasco,,0,15933.5479629,14779143.2369,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001041,TO,Città metropolitana
41,1,1,001,201,201,1042,1042,Burolo,,0,10523.9190474,5465450.85704,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001042,TO,Città metropolitana
42,1,1,001,201,201,1043,1043,Busano,,0,11970.6334759,5099654.39363,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001043,TO,Città metropolitana
43,1,1,001,201,201,1044,1044,Bussoleno,,0,35909.6418989,37408269.0694,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001044,TO,Città metropolitana
44,1,1,001,201,201,1045,1045,Buttigliera Alta,,0,11372.8699447,8100773.93242,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001045,TO,Città metropolitana
45,1,1,001,201,201,1046,1046,Cafasse,,0,14099.3878235,10428608.1726,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001046,TO,Città metropolitana
46,1,1,001,201,201,1047,1047,Caluso,,0,27426.9449052,39305647.4003,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001047,TO,Città metropolitana
47,1,1,001,201,201,1048,1048,Cambiano,,0,24680.5934059,14111838.9931,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001048,TO,Città metropolitana
48,1,1,001,201,201,1049,1049,Campiglione Fenile,,0,14519.5150759,11216395.4594,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001049,TO,Città metropolitana
49,1,1,001,201,201,1050,1050,Candia Canavese,,0,15737.6373115,9321666.43306,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001050,TO,Città metropolitana
50,1,1,001,201,201,1051,1051,Candiolo,,0,17491.8833754,12090692.6694,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001051,TO,Città metropolitana
51,1,1,001,201,201,1052,1052,Canischio,,0,15125.1859047,11951380.7171,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001052,TO,Città metropolitana
52,1,1,001,201,201,1053,1053,Cantalupa,,0,13819.908747,11382150.9069,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001053,TO,Città metropolitana
53,1,1,001,201,201,1054,1054,Cantoira,,0,20163.9194283,23056873.3063,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001054,TO,Città metropolitana
54,1,1,001,201,201,1055,1055,Caprie,,0,20614.3807953,16334433.7825,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001055,TO,Città metropolitana
55,1,1,001,201,201,1056,1056,Caravino,,0,19319.4964467,11483371.4926,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001056,TO,Città metropolitana
56,1,1,001,201,201,1057,1057,Carema,,0,14630.9827191,10575935.1449,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001057,TO,Città metropolitana
57,1,1,001,201,201,1058,1058,Carignano,,0,61120.9322295,49951134.3054,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001058,TO,Città metropolitana
58,1,1,001,201,201,1059,1059,Carmagnola,,0,69809.0619121,95981727.2571,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001059,TO,Città metropolitana
59,1,1,001,201,201,1060,1060,Casalborgone,,0,20810.9033822,20267388.8137,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001060,TO,Città metropolitana
60,1,1,001,201,201,1061,1061,Cascinette d'Ivrea,,0,6205.08754637,2265825.17705,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001061,TO,Città metropolitana
61,1,1,001,201,201,1062,1062,Caselette,,0,17002.0528037,14199947.4452,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001062,TO,Città metropolitana
62,1,1,001,201,201,1063,1063,Caselle Torinese,,0,20982.0905862,23801190.3031,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001063,TO,Città metropolitana
63,1,1,001,201,201,1064,1064,Castagneto Po,,0,14881.0338987,11431757.8807,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001064,TO,Città metropolitana
64,1,1,001,201,201,1065,1065,Castagnole Piemonte,,0,17993.4227635,17217451.6513,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001065,TO,Città metropolitana
65,1,1,001,201,201,1066,1066,Castellamonte,,0,47909.0257717,38257500.6249,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001066,TO,Città metropolitana
66,1,1,001,201,201,1067,1067,Castelnuovo Nigra,,0,39527.8561386,28653515.6369,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001067,TO,Città metropolitana
67,1,1,001,201,201,1068,1068,Castiglione Torinese,,0,18499.6421794,14203857.2941,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001068,TO,Città metropolitana
68,1,1,001,201,201,1069,1069,Cavagnolo,,0,18082.7851468,12664284.2945,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001069,TO,Città metropolitana
69,1,1,001,201,201,1070,1070,Cavour,,0,37065.1289851,48608598.4502,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001070,TO,Città metropolitana
70,1,1,001,201,201,1071,1071,Cercenasco,,0,17701.367636,13243285812,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001071,TO,Città metropolitana
71,1,1,001,201,201,1072,1072,Ceres,,0,27119.2072589,27960290.3786,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001072,TO,Città metropolitana
72,1,1,001,201,201,1073,1073,Ceresole Reale,,0,48424.5912459,100025695261,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001073,TO,Città metropolitana
73,1,1,001,201,201,1074,1074,Cesana Torinese,,0,62999.682749,121839057951,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001074,TO,Città metropolitana
74,1,1,001,201,201,1075,1075,Chialamberto,,0,26515.577007,35413237.1978,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001075,TO,Città metropolitana
75,1,1,001,201,201,1076,1076,Chianocco,,0,19977.9400768,18797247.3064,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001076,TO,Città metropolitana
76,1,1,001,201,201,1077,1077,Chiaverano,,0,15903.8081301,11780883.5469,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001077,TO,Città metropolitana
77,1,1,001,201,201,1078,1078,Chieri,,0,36600.286254,54211869.9565,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001078,TO,Città metropolitana
78,1,1,001,201,201,1079,1079,Chiesanuova,,0,8983.55246883,4228152.03889,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001079,TO,Città metropolitana
79,1,1,001,201,201,1080,1080,Chiomonte,,0,22570.9860034,26847819081,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001080,TO,Città metropolitana
80,1,1,001,201,201,1081,1081,Chiusa di San Michele,,0,11644.3420476,5830739.31567,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001081,TO,Città metropolitana
81,1,1,001,201,201,1082,1082,Chivasso,,0,31796.335191,50868275104,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001082,TO,Città metropolitana
82,1,1,001,201,201,1083,1083,Ciconio,,0,7181.91995681,3044908.38564,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001083,TO,Città metropolitana
83,1,1,001,201,201,1084,1084,Cintano,,0,21956.9731675,5035472.3799,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001084,TO,Città metropolitana
84,1,1,001,201,201,1085,1085,Cinzano,,0,10451.5399961,6182257.20931,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001085,TO,Città metropolitana
85,1,1,001,201,201,1086,1086,Ciriè,,0,17857.9463861,17842994.8179,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001086,TO,Città metropolitana
86,1,1,001,201,201,1087,1087,Claviere,,0,10554.8101357,2684373.07511,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001087,TO,Città metropolitana
87,1,1,001,201,201,1088,1088,Coassolo Torinese,,0,24068.8726823,27945694412,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001088,TO,Città metropolitana
88,1,1,001,201,201,1089,1089,Coazze,,0,37502.3871007,56050265.1536,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001089,TO,Città metropolitana
89,1,1,001,201,201,1090,1090,Collegno,,0,18550.963944,18187381.0267,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001090,TO,Città metropolitana
90,1,1,001,201,201,1091,1091,Colleretto Castelnuovo,,0,15892.470973,6306739.17853,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001091,TO,Città metropolitana
91,1,1,001,201,201,1092,1092,Colleretto Giacosa,,0,9503.34181331,4662779.70341,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001092,TO,Città metropolitana
92,1,1,001,201,201,1093,1093,Condove,,0,36653.2554711,70952445.7799,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001093,TO,Città metropolitana
93,1,1,001,201,201,1094,1094,Corio,,0,29642.2801016,41607272.1067,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001094,TO,Città metropolitana
94,1,1,001,201,201,1095,1095,Cossano Canavese,,0,9208.043402,3115627.1211,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001095,TO,Città metropolitana
95,1,1,001,201,201,1096,1096,Cuceglio,,0,11556.3554619,7007175.7047,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001096,TO,Città metropolitana
96,1,1,001,201,201,1097,1097,Cumiana,,0,37570.5913838,60805338.5966,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001097,TO,Città metropolitana
97,1,1,001,201,201,1098,1098,Cuorgnè,,0,21884.4059905,19117204.8534,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001098,TO,Città metropolitana
98,1,1,001,201,201,1099,1099,Druento,,0,23260.6393902,27517974.9731,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001099,TO,Città metropolitana
99,1,1,001,201,201,1100,1100,Exilles,,0,31114.6707888,46582743.2638,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001100,TO,Città metropolitana
100,1,1,001,201,201,1101,1101,Favria,,0,17583.0830632,14944569.0744,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001101,TO,Città metropolitana
101,1,1,001,201,201,1102,1102,Feletto,,0,11999.503804,8092111.96648,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001102,TO,Città metropolitana
102,1,1,001,201,201,1103,1103,Fenestrelle,,0,30898.2062983,49185173.1211,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001103,TO,Città metropolitana
103,1,1,001,201,201,1104,1104,Fiano,,0,22158.840417,11907871.3836,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001104,TO,Città metropolitana
104,1,1,001,201,201,1105,1105,Fiorano Canavese,,0,9970.83363166,4455674.27041,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001105,TO,Città metropolitana
105,1,1,001,201,201,1106,1106,Foglizzo,,0,17587.9621244,15610684.6141,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001106,TO,Città metropolitana
106,1,1,001,201,201,1107,1107,Forno Canavese,,0,20001.2014483,16549151.8061,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001107,TO,Città metropolitana
107,1,1,001,201,201,1108,1108,Frassinetto,,0,24626.1432852,24867758.2127,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001108,TO,Città metropolitana
108,1,1,001,201,201,1109,1109,Front,,0,17807.6027141,10934619.0875,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001109,TO,Città metropolitana
109,1,1,001,201,201,1110,1110,Frossasco,,0,30269.3422786,20247699.6553,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001110,TO,Città metropolitana
110,1,1,001,201,201,1111,1111,Garzigliana,,0,11548.2614983,7197427.35885,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001111,TO,Città metropolitana
111,1,1,001,201,201,1112,1112,Gassino Torinese,,0,25249.402506,20050711.6466,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001112,TO,Città metropolitana
112,1,1,001,201,201,1113,1113,Germagnano,,0,16311.1087684,14222279.4809,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001113,TO,Città metropolitana
113,1,1,001,201,201,1114,1114,Giaglione,,0,27947.6004626,33658929.2987,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001114,TO,Città metropolitana
114,1,1,001,201,201,1115,1115,Giaveno,,0,43427.7355203,71921371.2141,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001115,TO,Città metropolitana
115,1,1,001,201,201,1116,1116,Givoletto,,0,15197.42519,13106314.6558,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001116,TO,Città metropolitana
116,1,1,001,201,201,1117,1117,Gravere,,0,18699.5726925,18975882643,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001117,TO,Città metropolitana
117,1,1,001,201,201,1118,1118,Groscavallo,,0,44373.1334805,92207437.5813,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001118,TO,Città metropolitana
118,1,1,001,201,201,1119,1119,Grosso,,0,10110.895699,4339214.08446,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001119,TO,Città metropolitana
