CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
004061,5,0,5,5
004063,265,34,299,0
004065,808,0,808,14
004066,2780,0,2780,2
004067,3020,0,3020,11
004073,2183,0,2183,2
004074,930,56,986,1
004077,794,93,887,2
004079,1762,18,1780,1
004080,1618,42,1660,1
004081,3132,72,3204,34
004082,25,0,25,2
004084,1659,1,1660,1
004085,1443,0,1443,5
004089,8334,89,8423,50
004092,1311,82,1393,0
004094,236,24,260,2
004096,1240,0,1240,6
004101,1337,12,1349,5
004103,146,57,203,5
004104,36,0,36,26
004106,191,89,280,1
004107,454,0,454,8
004108,1,0,1,0
004109,317,0,317,0
004113,1,0,1,6
004114,1064,1,1065,6
004115,817,78,895,9
004116,2077,172,2249,9
004117,1589,0,1589,24
004121,399,7,406,17
004122,806,53,859,32
004124,503,0,503,0
004125,4,0,4,2
004126,803,2,805,15
004127,161,3,164,0
004129,343,0,343,0
004130,9774,75,9849,31
004131,817,0,817,2
004132,1265,43,1308,4
004136,55,0,55,0
004138,1,0,1,0
004141,347,4,351,0
004143,1470,26,1496,0
004144,875,1,876,1
004146,542,0,542,0
004152,97,0,97,2
004153,547,0,547,0
004154,680,0,680,0
004156,633,7,640,0
004157,2187,0,2187,4
004158,378,8,386,2
004161,6,0,6,0
004162,184,1,185,0
004163,3159,85,3244,2
004164,543,0,543,6
004168,447,10,457,2
004172,891,0,891,1
004174,669,0,669,0
004181,611,10,621,28
004184,81,0,81,3
004185,1430,9,1439,0
004186,1065,0,1065,5
004189,24,0,24,18
004192,2,0,2,2
004194,13,0,13,1
004196,326,38,364,16
004197,7,0,7,4
004201,945,8,953,3
004202,524,0,524,14
004203,5015,32,5047,68
004204,132,76,208,0
004205,2042,0,2042,40
004209,1683,69,1752,22
004211,1167,0,1167,3
004213,164,0,164,23
004215,8870,90,8960,26
004217,1438,0,1438,0
004220,307,0,307,2
004225,898,14,912,53
004226,355,0,355,1
004227,579,0,579,5
004232,1153,0,1153,6
004234,1,0,1,6
004237,1233,55,1288,9
004239,8,0,8,6
004240,1773,17,1790,0
004243,126,0,126,3
004245,2521,36,2557,2
004246,387,34,421,0
004247,1584,0,1584,79
